,tdays,SSE_index
704,20151201,3442.4412
705,20151202,3450.278
706,20151203,3525.7274
707,20151204,3558.1489
708,20151207,3529.8063
709,20151208,3518.6484
710,20151209,3462.5827
711,20151210,3469.8059
712,20151211,3441.5973
713,20151214,3403.5065
714,20151215,3518.126
715,20151216,3522.0908
716,20151217,3533.628
717,20151218,3574.94
718,20151221,3568.581
719,20151222,3645.99
720,20151223,3653.282
721,20151224,3631.313
722,20151225,3614.054
723,20151228,3635.769
724,20151229,3528.395
725,20151230,3566.731
726,20151231,3570.467
727,20160104,3536.589
728,20160105,3196.651
729,20160106,3291.195
730,20160107,3309.657
731,20160108,3194.625
732,20160111,3131.853
733,20160112,3026.159
734,20160113,3041.107
735,20160114,2874.049
736,20160115,2988.0483
737,20160118,2847.5389
738,20160119,2914.4078
739,20160120,2993.014
740,20160121,2934.391
741,20160122,2911.112
742,20160125,2934.078
743,20160126,2907.718
744,20160127,2756.082
745,20160128,2711.158
746,20160129,2652.854
747,20160201,2730.984
748,20160202,2687.982
749,20160203,2719.574
750,20160204,2751.432
751,20160205,2783.076
752,20160215,2684.961
753,20160216,2758.579
754,20160217,2829.764
755,20160218,2881.777
756,20160219,2854.904
757,20160222,2888.598
758,20160223,2925.708
759,20160224,2889.885
760,20160225,2922.237
761,20160226,2760.058
762,20160229,2754.814
763,20160301,2688.38
764,20160302,2733.767
765,20160303,2847.331
766,20160304,2848.538
767,20160307,2886.64
768,20160308,2895.666
769,20160309,2839.411
770,20160310,2847.567
771,20160311,2781.6
772,20160314,2830.084
773,20160315,2853.978
774,20160316,2858.709
775,20160317,2875.411
776,20160318,2915.518
777,20160321,2978.455
778,20160322,3001.63
779,20160323,2991.169
780,20160324,2986.801
781,20160325,2956.2
782,20160328,2988.01
783,20160329,2956.705
784,20160330,2941.218
785,20160331,3009.367
786,20160401,2997.088
787,20160405,3000.938
788,20160406,3039.745
789,20160407,3058.339
790,20160408,2988.2
791,20160411,3006.909
792,20160412,3031.301
793,20160413,3041.358
794,20160414,3080.09
795,20160415,3085.026
796,20160418,3058.463
797,20160419,3047.133
798,20160420,3050.381
799,20160421,2954.37
800,20160422,2933.035
801,20160425,2949.973
802,20160426,2944.716
803,20160427,2967.19
804,20160428,2955.742
805,20160429,2935.376
806,20160503,2940.392
807,20160504,2983.027
808,20160505,2987.022
809,20160506,2998.402
810,20160509,2896.162
811,20160510,2822.327
812,20160511,2843.545
813,20160512,2812.108
814,20160513,2828.462
815,20160516,2816.775
816,20160517,2850.926
